ID da Corrida,Nome do Motorista,Centro de Custo,Data e Hora de Solicitação,Origem,Destino,Distância Percorrida (km),Duração da Corrida (min),Tarifa Bruta (R$),Forma de Pagamento,Taxa de Intermediação (R$),Descontos / Campanhas (R$),Valor Líquido / Repasse (R$),Status da Corrida
99_874956253,Carlos Silva,VEICULO_02,2026-05-15 09:52:00,"R. Dr. Arlindo Sodré, 450 - São Mateus, ES","Hospital Roberto Silvares, São Mateus - ES",5.0,14,24.1,Cartao_Maquininha,-5.69,0.0,18.41,Concluída
99_874392136,Ana Oliveira,VEICULO_03,2026-05-15 12:53:00,"R. Dr. Arlindo Sodré, 450 - São Mateus, ES","Hospital Roberto Silvares, São Mateus - ES",18.4,41,64.38,Voucher_App,-9.18,0.0,55.2,Concluída
99_874287241,Ana Oliveira,VEICULO_03,2026-05-15 08:03:00,"R. Dr. Arlindo Sodré, 450 - São Mateus, ES","Hospital Roberto Silvares, São Mateus - ES",14.8,31,52.46,Voucher_App,-9.26,0.0,43.2,Concluída
99_874704596,Claus Miranda,VEICULO_01,2026-05-15 08:03:00,"Av. José Tozzi, 1200 - São Mateus, ES","Bairro Guriri, São Mateus - ES",13.9,27,48.88,Dinheiro,-9.19,3.5,43.19,Concluída
99_874481913,Ana Oliveira,VEICULO_03,2026-05-15 17:31:00,"Av. José Tozzi, 1200 - São Mateus, ES","Bairro Guriri, São Mateus - ES",16.1,28,54.12,Cartao_Maquininha,-11.67,3.5,45.95,Concluída
99_874799287,Claus Miranda,VEICULO_01,2026-05-15 14:44:00,"Centro, São Mateus - ES","Bairro Carapina, São Mateus - ES",20.4,40,68.38,Cartao_Maquininha,-14.99,0.0,53.39,Concluída
99_874745414,Ana Oliveira,VEICULO_03,2026-05-15 17:38:00,"Bairro Boa Vista, São Mateus - ES","Rodoviária de São Mateus, ES",15.9,32,55.28,Voucher_App,-10.3,0.0,44.98,Concluída
99_874587575,Marcos Souza,VEICULO_04,2026-05-15 16:26:00,"Guriri Beach, São Mateus - ES","Av. José Tozzi, São Mateus - ES",18.6,33,61.62,Cartao_Maquininha,-11.54,3.5,53.58,Concluída
99_874958179,Marcos Souza,VEICULO_04,2026-05-15 14:52:00,"Centro, São Mateus - ES","Bairro Carapina, São Mateus - ES",0.0,0,6.0,Dinheiro,-1.2,0.0,4.8,Cancelada_Pelo_Passageiro
99_874577538,Ana Oliveira,VEICULO_03,2026-05-15 16:30:00,"Rod. Othovarino Duarte Santos, 500 - São Mateus, ES","Centro, São Mateus - ES",18.1,29,58.92,Cartao_Maquininha,-9.84,0.0,49.08,Concluída
